QuestionNumber,ToReplace,ReplaceWith,TypeOfReplacement,AddedBy
Question 2291,taunt,taunts,plural,MP 
Question 2291,jokes,joke,plural,MP 
Question 2291,tease,teasing,typo,MP 
Question 2291,taunting,taunts,typo ,MP 
Question 2291,jabs,jab,plural,MP 
Question 2291,comebacks,comeback,plural,MP 
Question 2294,somethng,something,typo,MP 
Question 2295,da-da,dada,typo,MP 
Question 2296,mit,mitt,typo,MP 
Question 2296,gloves,glove,plural,MP 
Question 23,poisiness,poisonous,typo,MH
Question 23,poison,poisonous,tense,MH
Question 23,perrenial,perennial,typo,MH
Question 23,flytrap,venus fly trap,typo,MH
Question 23,hibicus,hibiscus,typo,MH
Question 2302,bulls,bull,plural,MN
Question 2302,horses,horse,plural,MN
Question 2302,goats,goat,plural,MN
Question 2302,cow,cows,plural,MN
Question 2303,lord,lords,plural,MN
Question 2303,master,masters,plural,MN
Question 2303,kings,king,plural,MN
Question 2304,flue,flu,typo,MN
Question 2305,puch,pouch,typo,MN
Question 2309,beans,bean,plural,MN
Question 2309,nuts,nut,plural,MN
Question 2309,plants,plant,plural,MN
Question 231,rythem,rhythm,typo,MH
Question 2311,vauge,vague,typo,MN
Question 2311,dsigusting,disgusting,typo,JP
Question 2313,beds,bed,plural,MN
Question 2314,pic,pick,typo,MN
Question 2316,collaspe,collapse,typo,MN
Question 2316,sift,shift,typo,MN
Question 2317,wack,whack,typo,MN
Question 2318,spices,spice,plural,MN
Question 2318,mayonaise,mayonnaise,typo,JP
Question 2321,tags,tag,plural,MN
Question 2321,tage,tag,plural,MN
Question 2322,pawns,pawn,plural,MN
Question 2322,pieces,piece,plural,MN
Question 2323,mittens,mitten,plural,MN
Question 2323,hand-warmer,handwarmer,typo,MN
Question 2324,flower,flowers,plural,MN
Question 2324,trees,tree,plural,MN
Question 2325,betted,bet,typo,MN
Question 2326,turns,turn,plural,MN
Question 2328,mushy,mush,typo,MN
Question 2328,much,mush,typo,MN
Question 2329,scale,scales,plural,MN
Question 2329,saxaphone,saxophone,typo,MN
Question 2329,instrument,instruments,plural,MN
Question 2329,lute,flute,typo,MN
Question 2332,chery,cherry,typo,MN
Question 2332,strawbetty,strawberry,typo,MN
Question 2333,perches,perch,plural,MN
Question 2333,perrch,perch,typo,MN
Question 2333,pearch,perch,typo,MN
Question 2333,branches,branch,plural,MN
Question 2333,cliffs,cliff,plural,MN
Question 2334,bath,bathe,typo,MN
Question 2335,the beach,beach,typo,MN
Question 2336,chests,chest,plural,MN
Question 2336,arn,arm,typo,MN
Question 2336,chset,chest,typo,MN
Question 2336,temples,temple,plural,MN
Question 2337,notes,note,plural,MN
Question 2337,cord,chord,typo,MN
Question 2338,geart,heart,typo,MN
Question 2338,gallblader,gallbladder,typo,MN
Question 2338,hips,hip,plural,MN
Question 234,kign,king,typo,MH
Question 234,fullhouse,full house,typo,MH
Question 2340,windows,window,plural,MN
Question 2340,teach,teacher,typo,MN
Question 2342,embarrased,embarrassement,typo,MN
Question 2345,hady,handy,typo,MN
Question 2346,looters,looter,plural,MN
Question 2346,burgler,burglar,typo,MN
Question 235,quinch,quench,typo,MH
Question 235,satisy,satisfy,typo,MH
Question 2351,lenght,length,typo,MN
Question 2353,hear,heart,typo,MN
Question 2354,skill,skills,plural,MN
Question 2355,claf,calf,typo,MN
Question 2357,earlt,early,typo,SDW
Question 2358,haiar,hair,typo,SDW
Question 2358,nap,naps,plural,SDW
Question 2358,playtime,playtimes,plural,SDW
Question 2358,break,brake,typo,SDW
Question 236,pizzaz,pizzazz,typo,MH
Question 236,polishing,polish,tense,MH
Question 236,details,detail,plural,MH
Question 2363,friend,friends,plural,SDW
Question 2363,ambition,ambitions,plural,SDW
Question 2363,hopes,hope,plural,SDW
Question 2363,hampster,hamster,typo,SDW
Question 2368,learning,learn,tense,SDW
Question 237,laughing ,laughter,tense,MH
Question 237,attititude,attitude,typo,MH
Question 2371,ears,early,plural,SDW
Question 2371,nipples,nipple,plural,SDW
Question 2372,thoroubred,thoroughbred,typo,SDW
Question 2372,stalion,stallion,typo,SDW
Question 2373,legends,legend,plural,SDW
Question 2373,myths,myth,plural,SDW
Question 2373,ledgent,legend,typo,SDW
Question 2373,theroy,theory,typo,SDW
Question 2373,legand,legend,typo,SDW
Question 2373,text,texts,plural,SDW
Question 2373,story,stories,plural,SDW
Question 2373,tails,tales,typo,SDW
Question 2373,lure,lore,typo,SDW
Question 2373,scroll,scrolls,plural,SDW
Question 2373,lack,lick,typo,SDW
Question 2373,ledgend,legend,typo,JP
Question 2375,peppers,pepper,plural,SDW
Question 2375,raddish,radish,typo,SDW
Question 2375,pomegranite,pomegranate ,typo,SDW
Question 2378,crumble,crumbled,tense,SDW
Question 2378,collaspe,collapsed,typo,SDW
Question 2378,collasped,collapsed,typo,SDW
Question 2378,collapse,collapsed,tense,SDW
Question 2378,sway,swayed,tense,SDW
Question 2378,tremble,trembled,tense,SDW
Question 2379,buildings,building,plural,SDW
Question 238,chaian,chain,typo,MH
Question 238,bones,bone,plural,MH
Question 2380,rings,ring,plural,SDW
Question 2380,circles,circle,plural,SDW
Question 2380,puffs,puff,plural,SDW
Question 2381,scar,scare,typo,SDW
Question 2381,shuve,shove,typo,SDW
Question 2382,openess,openness,typo,SDW
Question 2382,clamness,calmness,typo,SDW
Question 2382,dilligence,diligence,typo,SDW
Question 2383,bate,bait,typo,SDW
Question 2383,baiat,bait,typo,SDW
Question 2383,hooks,hook,plural,SDW
Question 2385,ax,axe,typo,SDW
Question 2385,tool,tools,plural,SDW
Question 2385,chissel,chisel,typo,SDW
Question 2385,nails,nail,typo,SDW
Question 2387,7,seven,typo,SDW
Question 2387,7:00,seven,typo,SDW
Question 2388,waher,washer,typo,SDW
Question 239,stand,stands,plural,MH
Question 2390,vry,cry,typo,SDW
Question 2391,talents,talent,plural,SDW
Question 2391,skill,skills,plural,SDW
Question 2392,mane,main,typo,SDW
Question 2392,pipes,pipe,plural,SDW
Question 2392,pumps,pump,plural,SDW
Question 2392,valves,valve,plural,SDW
Question 2393,sails,sail,plural,SDW
Question 2393,utter,rudder,typo,SDW
Question 2395,net,nets,plural,SDW
Question 2395,tank,tanks,plural,SDW
Question 2395,cage,cages,plural,SDW
Question 2396,wrists,wrist,plural,SDW
Question 2397,athelete,athlete,typo,SDW
Question 2398,piggie bank,piggybank,typo,SDW
Question 2399,cutting,cut,tense,SDW
Question 2399,trimming,trim,tense,SDW
Question 24,kicking,kick,tense,MH
Question 24,falling,fall,tense,MH
Question 24,s kick,kick,typo,MH
Question 24,throw,throwing you,tense,MH
Question 24,butt,bucking,typo,MH
Question 2400,dual,duel,typo,HG
Question 2401,10,ten,typo,HG
Question 2401,7,seven,typo,HG
Question 2401,four pins,four,typo,HG
Question 2401,strike,a strike,typo,HG
Question 2402,worhty,worthy,typo,HG
Question 2403,mess,a mess,typo,HG
Question 2404,fashion,fashions,plural,HG
Question 2404,dresses,dress,plural,HG
Question 2404,creations,creation,plural,HG
Question 2404,blouses,blouse,plural,HG
Question 2405,taunt,taunts,plural,HG
Question 2406,muffin,muffins,plural,HG
Question 2406,souflee,souffle,typo,HG
Question 2409,duel,dual,typo,HG
Question 241,rubs,rub,plural,MH
Question 2410,pizzaz,pizzazz,typo,HG
Question 2410,pizazz,pizzazz,typo,HG
Question 2410,finess,finesse,typo,HG
Question 2410,intrest,interest,typo,HG
Question 2411,strenght,strength,typo,HG
Question 2411,assest,asset,typo,HG
Question 2412,slow,slowly,tense,HG
Question 2412,migriatory,migratory,typo,HG
Question 2413,liek,like,typo,HG
Question 2414,let,leg,typo,HG
Question 2414,lef,leg,typo,HG
Question 2415,ghost,ghosts,plural,HG
Question 242,dogs,dog,plural,MH
Question 242,bullies,bully,plural,MH
Question 242,kids,kid,plural,MH
Question 2420,lie,lying,tense,HG
Question 2423,lotions,lotion,plural,HG
Question 2423,potpouri,potpourri,typo,HG
Question 2423,stationary,stationery,typo,HG
Question 2423,lipsticks,lipstick,plural,HG
Question 2424,lay off,layoff,typo,HG
Question 2424,cut loses,cut losses,typo,HG
Question 2425,bore,boar,typo,HG
Question 2427,partners,partner,plural,HG
Question 2428,balls,ball,plural,HG
Question 2429,desserts,dessert,plural,HG
Question 243,hanged,hung,tense,MH
Question 243,investagted,investigated,typo,MH
Question 243,aquitted,acquitted,typo,MH
Question 243,guilty,found guilty,typo,MH
Question 2430,knives,knife,plural,HG
Question 2430,ingredients,ingredient,plural,HG
Question 2430,tools,tool,plural,HG
Question 2433,shoes,shoe,plural,HG
Question 2434,earring,earrings,plural,HG
Question 2435,l2,two,typo,HG
Question 2435,dozens,a dozen,plural,HG
Question 2435,12,twelve,typo,HG
Question 2436,nai.s,nails,typo,HG
Question 2436,sandwhich,sandwich,typo,HG
Question 2437,ferru,ferry,typo,HG
Question 2438,fidgit,fidget,typo,HG
Question 2438,somg,sing,typo,HG
Question 2438,fidigit,fidget,typo,HG
Question 2439,sheathe,sheath,typo,HG
Question 2439,scabard,scabbard,typo,HG
Question 2440,a pain,pain,typo,HG
Question 2442,skills,skill,plural,HG
Question 2442,ethic,ethics,plural,HG
Question 2442,wits,wit,plural,HG
Question 2443,chaffed,chafed,typo,HG
Question 2443,chivered,shivered,typo,HG
Question 2444,roots,root,typo,HG
Question 2445,paccifier,pacifier,typo,HG
Question 2447,flavour,flavor,typo,HG
Question 2447,dear,sear,typo,HG
Question 2447,tatse,taste,typo,HG
Question 2449,agressive,aggressive,typo,HG
Question 2449,enangered,endangered,typo,HG
Question 245,purfume,perfume,typo,MH
Question 2450,hankerchief,handkerchief,typo,HG
Question 2451,awal,awol,typo,HG
Question 2451,awall,awol,typo,HG
Question 2451,aol,awol,typo,HG
Question 2451,rouge,rogue,typo,HG
Question 2452,teeth,teethe,typo,HG
Question 2455,horns,horn,plural,HG
Question 2455,cars,car,plural,HG
Question 2455,goose,geese,plural,HG
Question 2456,workers,worker,plural,HG
Question 2456,interns,intern,plural,HG
Question 2457,mase,mace,typo,HG
Question 2457,gun,guns,plural,HG
Question 2457,a gun,guns,plural,HG
Question 2458,cakes,cake,plural,HG
Question 2458,pies,pie,plural,HG
Question 2458,icecream,ice cream,typo,HG
Question 246,mountians,mountains,typo,MH
Question 246,mountain,mountains,plural,MH
Question 246,son,sun,typo,MH
Question 2460,rath,wrath,typo,HG
Question 2460,stares,stare,plural,HG
Question 2460,amger,anger,typo,HG
Question 2462,omelete,omelet,typo,HG
Question 2462,omelette,omelet,typo,HG
Question 2462,omlette,omelet,typo,HG
Question 2463,farse,farce,typo,HG
Question 2463,diaster,disaster,typo,HG
Question 2466,tricked,trick,typo,HG
Question 2466,decieve,deceive,typo,HG
Question 2467,wrathe,wrath,typo,HG
Question 2467,rath,wrath,typo,HG
Question 2467,punishments,punishment,plural,HG
Question 2467,assult,assault,typo,HG
Question 2469,dear,deer,typo,HG
Question 247,steps,step,plural,MH
Question 247,threshhold,threshold,typo,MH
Question 247,wiring,wires,tense,MH
Question 247,wire,wires,plural,MH
Question 2470,ability,abilities,plural,HG
Question 2470,talents,talent,plural,HG
Question 2470,charachter,character,typo,HG
Question 2470,skills,skill,plural,HG
Question 2471,studdying,studying,typo,HG
Question 2471,learned,learning,typo,HG
Question 2471,tought,taught,typo,HG
Question 2471,thought,taught,typo,HG
Question 2471,studied,studying,typo,HG
Question 2477,fourtune,fortune,typo,HG
Question 2478,bate,bait,typo,HG
Question 2479,woods,wood,plural,HG
Question 2479,street,streets,plural,HG
Question 2480,towtruck,tow truck,typo,HG
Question 2482,slippey,slippery,typo,HG
Question 2483,collander,colander,typo,HG
Question 2484,whisky,whiskey,typo,HG
Question 2485,bisquits,biscuits,typo,HG
Question 2486,ran,run,typo,HG
Question 2487,dubloons,doubloons,typo,HG
Question 2487,loott,loot,typo,HG
Question 2488,ait,wait,typo,HG
Question 2488,wwait,wait,typo,HG
Question 2488,summize,surmise,typo,HG
Question 2489,gifts,gift,plural,HG
Question 2489,lands,land,plural,HG
Question 249,star,stars,plural,MH
Question 2492,marker,markers,typo,HG
Question 2492,pen,pens,typo,HG
Question 2493,nerves,nerve,typo,HG
Question 2494,tatse,taste,typo,HG
Question 2497,pigs,pig,plural,HG
Question 2498,foregin,foreign,typo,HG
Question 2499,strenght,strength,typo,HG
Question 2499,strength1,strength,typo,HG
Question 2499,muscles,muscle,plural,HG
Question 25,sight,eyesight,typo,MH
Question 250,cafe,cage,typo,MH
Question 2500,voided,void,tense,OM
Question 2500,nullified,null,tense,OM
Question 2500,not binding,nonbinding,typo,OM
Question 2502,home run,homerun,typo,OM
Question 2505,hiden'seek,hide and seek,typo,OM
Question 2505,teg,tag,typo,OM
Question 2506,dr,doctor,typo,OM
Question 2507,embarassment,embarrassment,typo,OM
Question 2507,embaressment,embarrassment,typo,OM
Question 2507,roseacea,rosacea,typo,OM
Question 2507,cheek,cheeks,tense,OM
Question 2507,coloring,color,tense,OM
Question 2508,curd,cud,typo,OM
Question 2508,cod,cud,typo,OM
Question 2508,foot,food,typo,OM
Question 2509,spices,spice,tense,OM
Question 2509,parmasean,parmesan,typo,OM
Question 2509,basely,basil,typo,OM
Question 251,rope,ropes,plural,MH
Question 251,weight,weights,plural,MH
Question 2510,flavoring,flavor,typo,OM
Question 2510,spices,spice,tense,OM
Question 2510,seasonings,seasoning,tense,OM
Question 2510,season,seasoning,tense,OM
Question 2510,charcol,char,tense,OM
Question 2513,procelin,porcelain,typo,OM
Question 2513,porceline,porcelain,typo,OM
Question 2514,worth it,worthwhile,typo,OM
Question 2514,wothwile,worthwhile,typo,OM
Question 2516,pai,pair,typo,OM
Question 2518,dice,die,plural,OM
Question 2518,12,twelve,typo,OM
Question 2518,7,seven,typo,OM
Question 2518,6,six,typo,OM
Question 2519,applaude,applaud,typo,OM
Question 252,stores,the store,typo,MH
Question 2520,buh,bug,typo,OM
Question 2520,but,bug,typo,OM
Question 2520,bugs,bug,plural,OM
Question 2521,sheath,sheaf,typo,OM
Question 2521,bail,bale,typo,OM
Question 2522,grandcanyon,grand canyon,typo,OM
Question 2529,answred,answered,typo,OM
Question 2529,hide,hid,tense,OM
Question 253,bluejays,blue jays,typo,MH
Question 253,bluejay,blue jays,typo,MH
Question 253,carnaries,canaries,typo,MH
Question 253,canary,canaries,plural,MH
Question 253,bird,birds,plural,MH
Question 253,robin,robins,plural,MH
Question 253,mockingbird,mockingbirds,plural,MH
Question 253,sparrow,sparrows,plural,MH
Question 253,dove,doves,plural,MH
Question 253,songbird,songbirds,plural,MH
Question 253,wren,wrens,plural,MH
Question 253,parrot,parrots,plural,MH
Question 2531,way,wag,typo,OM
Question 2536,crusts,crust,tense,OM
Question 2537,exctiement,excitement,typo,OM
Question 2537,excitment,excitement,typo,OM
Question 2537,emotion,emotions,tense,OM
Question 2538,spectical,spectacle,typo,OM
Question 254,duece,deuce,typo,MH
Question 2541,doseage,dosage,typo,OM
Question 2547,myth,myths,tense,OM
Question 2547,fakes ,fake,tense,OM
Question 2547,folklores,folklore,tense,OM
Question 2547,fictiom,fiction,typo,OM
Question 2547,ledgends,legends,typo,OM
Question 2547,makebelieve,make believe,typo,OM
Question 2550,moaning,moan,tense,OM
Question 2550,snoring,snore,tense,OM
Question 2550,cry,crying ,tense,OM
Question 2550,screaming,scream,tense,OM
Question 2550,yelling,yell,tense,OM
Question 2550,coughing,cough,tense,OM
Question 2550,shout,shouting,tense,OM
Question 2550,call,calling,tense,OM
Question 2550,talk,talking,tense,OM
Question 2551,candles,candle,tense,OM
Question 2551,logs,log,tense,OM
Question 2552,excitment,excitement,typo,OM
Question 2555,rin,rib,typo,OM
Question 2556,tools,tool,tense,OM
Question 2557,crowing,crow,tense,OM
Question 2559,tiles,tile,tense,OM
Question 2559,tiling,tile,tense,OM
Question 2560,wall,walls,tense,OM
Question 2560,barriers,barrier,tense,OM
Question 2560,guard,guards,tense,OM
Question 2560,gate,gates,tense,OM
Question 2560,orders,order,tense,OM
Question 2560,baracade,barricade,typo,OM
Question 2560,mote,moat,typo,OM
Question 2562,vegetable,vegetables,tense,OM
Question 2563,reccover,recover,typo,OM
Question 2563,recupurate,recuperate ,typo,OM
Question 2564,waiters,waiter,tense,OM
Question 2564,crowds,crowd,tense,OM
Question 2564,lines,line,tense,OM
Question 2565,sush,shush,typo,OM
Question 2568,shall,shawl,typo,OM
Question 2568,vale,veil,typo,OM
Question 2568,viel,veil,typo,OM
Question 2568,fabrics,fabric,tense,OM
Question 2569,peopel,people,typo,OM
Question 257,hoove,hoof,typo,MH
Question 257,hoofs,hoof,typo,MH
Question 257,hooves,hoof,plural,MH
Question 257,leg,legs,plural,MH
Question 257,goot,foot,typo,MH
Question 257,feet,foot,plural,MH
Question 2570,rucus,ruckus,typo,OM
Question 2570,comotion,commotion,typo,OM
Question 2571,atmospher,atmosphere,typo,OM
Question 2571,jobs,job,tense,OM
Question 2573,ac,air conditioner,typo,OM
Question 2573,aircon,air conditioner,typo,OM
Question 2573,air condition,air conditioner,typo,OM
Question 2573,fans,fan,tense,OM
Question 2574,tools ,tool,tense,OM
Question 2575,divet,divot,typo,OM
Question 2575,suface,surface,typo,OM
Question 2575,grove,groove,typo,OM
Question 2577,treament,treatment,typo,OM
Question 2577,extensions,extension,tense,OM
Question 2578,falling,fell,tense,OM
Question 2578,fall down,fell,tense,OM
Question 258,lose,loss,typo,MH
Question 258,tickets,ticket,plural,AZ
Question 2581,friend,friends,tense,OM
Question 2581,coinciderence,coincidence,typo,OM
Question 2583,pajama,pajamas,tense,OM
Question 2583,pyjamas,pajamas,typo,OM
Question 2583,pijamas,pajamas,typo,OM
Question 2583,sweat pants,sweatpants,typo,OM
Question 2584,leaf,leaves,tense,OM
Question 2586,sails,sail,tense,OM
Question 2586,nchor,anchor,typo,OM
Question 2586,ore,oars,tense,OM
Question 2586,rutter,rudder,typo,OM
Question 2588,suceed,succeed,typo,OM
Question 2591,whisky,whiskey,typo,OM
Question 2591,liquior,liquor,typo,OM
Question 2591,burbon,bourbon,typo,OM
Question 2592,jug,jog,typo,OM
Question 2593,child,children,tense,OM
Question 2594,sow,sew,typo,OM
Question 2595,tounge,tongue,typo,OM
Question 2595,toungue,tongue,typo,OM
Question 2595,witt,wit,typo,OM
Question 2595,wits,wit,tense,OM
Question 2595,tonge,tongue,typo,OM
Question 2597,bath,bathe,tense,OM
Question 26,leg,legs,plural,MH
Question 26,hoofs,hooves,typo,MH
Question 26,hoof ,hooves,plural,MH
Question 26,foot,feet,plural,MH
Question 26,food,feet,typo,MH
Question 2600,a friend,friend,typo,MH
Question 2601,their homes ,homes,tense,MH
Question 2602,sculture,sculpture,typo,MH
Question 2603,accidents,the accident,plural,MH
Question 2603,storm,storms,plural,MH
Question 2603,tree,trees,plural,MH
Question 2603,an accident,the accident,typo,MH
Question 2604,bug,bugs,plural,MH
Question 2605,mame,mane,typo,MH
Question 2605,gate,gait,typo,MH
Question 2607,gesters,gestures,typo,MH
Question 2607,speach,speech,typo,MH
Question 2607,glances,glance,plural,MH
Question 2607,behaviors,behavior,plural,MH
Question 2609,barrell,barrel,typo,MH
Question 2610,funtion,function,typo,MH
Question 2611,excitied,excited,typo,MH
Question 2614,cheif,chief,typo,MH
Question 2614,the leader,leader,tense,MH
Question 2614,the chef,the chief,typo,MH
Question 2615,hop scotc,hopscotch,typo,MH
Question 2615,hopstotch,hopscotch,typo,MH
Question 2620,fruits,fruit,plural,MH
Question 2621,flyers,flyer,plural,MH
Question 2621,crops,crop,plural,MH
Question 2622,rope,ropes,plural,MH
Question 2626,bone,bones,plural,MH
Question 2626,socket,sockets,plural,MH
Question 2626,siza,size,typo,MH
Question 2627,apperance,appearance ,typo,MH
Question 2628,pick,peck,typo,MH
Question 263,jugs,jug,plural,AZ
Question 263,containers,container,plural,AZ
Question 263,jog,jug,typo,AZ
Question 2632,birds,bird,plural,MH
Question 2634,mit,mitt,typo,MH
Question 2638,dame,dam,typo,MH
Question 2638,dams,dam,plural,MH
Question 2638,levy,levee,typo,MH
Question 2638,levees,levee,plural,MH
Question 2638,leavy,levee,typo,MH
Question 2639,cover,cover his ears,typo,MH
Question 264,pots,pot,plural,AZ
Question 264,counters,counter,plural,AZ
Question 2640,surery,surgery,typo,MH
Question 2640,bitten,bit,typo,MH
Question 2640,a shot,shots,typo,MH
Question 2640,blusher,blush,typo,MH
Question 2641,peper,pepper,typo,JP
Question 2642,entrée,entree,typo,JP
Question 2643,the insurance,insurance,typo,MH
Question 2643,insurrance,insurance,typo,MH
Question 2644,rythym,rhythm,typo,MH
Question 2645,push-up,pushup,typo,MH
Question 2648,devestated,devastated,typo,MH
Question 2648,depressec,depressed,typo,MH
Question 2648,devistated,devastated,typo,MH
Question 2648,hearbroken,heartbroken,typo,MH
Question 265,raddish,radish,typo,AZ
Question 265,plums,plum,plural,AZ
Question 2650,folks,folk,plural,MH
Question 2651,vegatable,vegetable,typo,JP
Question 2653,knat,gnat,typo,MH
Question 2656,doors,door,plural,MH
Question 2656,gates,gate,plural,MH
Question 2657,parrakeet,parakeet,typo,MH
Question 2658,bells,bell,plural,MH
Question 2658,gongs,gong,plural,MH
Question 266,spices,spice,plural,AZ
Question 2660,stripclub,strip club,typo,JP
Question 2661,thru,through,typo,MH
Question 2661,sit down ,sit,typo,MH
Question 2662,tac,tack,typo,MH
Question 2663,paint,paints,plural,MH
Question 2663,clays,clay,plural,MH
Question 2664,meet,met,tense,MH
Question 2667,toot,tooth,typo,MH
Question 2667,tooths,tooth,typo,MH
Question 2668,pizazz,pizzazz,typo,MH
Question 2668,pizzaz,pizzazz,typo,MH
Question 2668,excitment,excitement,typo,MH
Question 2668,pzazz,pizzazz,typo,MH
Question 2669,done,were done,tense,MH
Question 2669,burnt,burned,typo,MH
Question 2671,tshirt,shirt,typo,MH
Question 2671,souvenir,souvenier,typo,MH
Question 2671,teeshirt,shirt,typo,MH
Question 2671,tee shirt,shirt,typo,MH
Question 2671,t-shirt,shirt,typo,MH
Question 2673,wimper,whimper,typo,MH
Question 2676,cqlm,calm,typo,MH
Question 2677,mirro,mirror,typo,MH
Question 2677,a purse,purse,typo,MH
Question 2680,runnifg,running,typo,MH
Question 2682,yelling,yell,tense,MH
Question 2682,crying,cry,tense,MH
Question 2682,screaming,scream,tense,MH
Question 2682,choke,choking,tense,MH
Question 2683,dorms,dorm,plural,MH
Question 2684,laps,lap,plural,MH
Question 2688,pale,pail,typo,MH
Question 2689,mase,mace,typo,MH
Question 2692,tom boy,tomboyish,typo,MH
Question 2695,strenght,strength,typo,MH
Question 2697,vengenance,vengeance,typo,MH
Question 2697,vengence,vengeance,typo,MH
Question 2697,snear,sneer,typo,JP
Question 2698,11,eleven ,typo,MH
Question 2698,elevent,eleven ,typo,MH
Question 2698,3,three,typo,MH
Question 2699,bumpkib,bumpkin,typo,MH
Question 270,guest,guests,plural,AZ
Question 2700,heal,heel,typo,TR
Question 2701,grey,gray,typo,TR
Question 2701,tope,taupe,typo,TR
Question 2701,a tan one,tan,typo,TR
Question 2701,biege,beige,typo,TR
Question 2703,cover,covering ,tense,TR
Question 2703,sheltered doorway,shelter ,typo,TR
Question 2704,stole,steal,tense,TR
Question 2704,steal again ,steal,typo,TR
Question 2705,raisins,raisin,plural,TR
Question 2705,apricot,apricots,plural,TR
Question 2705,rasin,raisin,typo,TR
Question 2705,dates,date,plural,TR
Question 2705,raisen,raisin,typo,TR
Question 2705,bananna,banana,typo,TR
Question 2706,flair,flare,typo,TR
Question 2706,pezazz,pizzazz,typo,TR
Question 2706,enuthusiasm,enthusiasm,typo,TR
Question 2707,teasure,treasure,typo,TR
Question 2708,forest,forests,plural,TR
Question 2708,forrests,forests,typo,TR
Question 2709,slighty,slight,typo,TR
Question 2710,spices,spice,plural,TR
Question 2712,wind,winds,plural,TR
Question 2714,snear,sneer ,typo,TR
Question 2715,champ,champion,typo,TR
Question 2715,shoewin,shoe-in,typo,TR
Question 2716,coughing ,cough,tense,TR
Question 2716,pains,pain,plural,TR
Question 2716,snore,snoring ,tense ,TR
Question 2716,ashtma,asthma,typo,TR
Question 2718,paw,paws,plural,TR
Question 2719,curvey,curvy,typo,TR
Question 2720,moutain,mountain ,typo,TR
Question 2720,rail,railing,tense,TR
Question 2723,lips,lip,plural,TR
Question 2723,nail,nails,plural,TR
Question 2724,sea gull,seagull,typo,TR
Question 2724,seagul,seagull,typo,TR
Question 2725,would,wound,typo,TR
Question 2726,trash can,trashcan ,typo,TR
Question 2728,fleed,fled,typo,TR
Question 2728,scream,screamed ,tense,TR
Question 273,bg,bag,typo,AZ
Question 2730,cemetary,cemetery,typo,TR
Question 2730,quary,quarry,typo,TR
Question 2731,bugs,bug,plural,TR
Question 2731,pooh,poop,typo,TR
Question 2731,maggot,maggots,plural,TR
Question 2732,sufficate,suffocate,typo,TR
Question 2734,friend ,friends,plural,TR
Question 2734,husbnad,husband,typo,TR
Question 2735,rhythym,rhythm,typo,TR
Question 2736,driank,drink,typo,TR
Question 2738,hury,hurry,typo,TR
Question 2739,winw,wine,typo,TR
Question 2741,partical,particle ,typo,TR
Question 2742,staple,stapler,plural,TR
Question 2742,backpacks,backpack,plural,TR
Question 2742,folders,folder,plural,TR
Question 2743,emotions,emotion,plural,TR
Question 2743,feeling,feelings,plural,TR
Question 2743,his feeling,feelings,plural,TR
Question 2744,shoolk,shook,typo,TR
Question 2744,shock,shook,typo,TR
Question 2745,wass,wasp,typo,TR
Question 2746,belief,beliefs,plural,TR
Question 2746,gods,god,plural,TR
Question 2749,vibrance,vibrancy,typo,TR
Question 2749,pizzaz,pizzazz,typo,TR
Question 2750,cub,cubs,plural,TR
Question 2755,chesse,cheese,typo,TR
Question 2756,scared,scary,tense,TR
Question 2756,exhilirating,exhilarating ,typo,TR
Question 2757,jetski,jet ski,typo,TR
Question 2759,cleaned,clean,tense,TR
Question 2759,mess,messy,tense,TR
Question 276,spatter,splatter,typo,AZ
Question 276,suqirt,squirt,typo,AZ
Question 2760,lighting ,light,tense,TR
Question 2765,seasonings,seasoning,plural,TR
Question 2766,attractive,attractive,typo,TR
Question 2767,prices,price,plural,TR
Question 2768,hens,hen,plural,TR
Question 2769,sleepingbag,sleeping bag,typo,TR
Question 2771,rack,rake,typo,TR
Question 2771,rakes,rake,plural,TR
Question 2772,trumpets,trumpet,plural,TR
Question 2772,horns,horns,plural,TR
Question 2772,bells,bell,plural,TR
Question 2772,bugels,bugles,typo,TR
Question 2773,wall flower,wallflower,typo,TR
Question 2773,belle of the ball,belle,typo,TR
Question 2774,nud,mud,typo,TR
Question 2775,stroke,strike,tense,TR
Question 2776,collor,collar,typo,TR
Question 2781,hoops,hoop,plural,TR
Question 2783,bull,bulls,plural,TR
Question 2783,clown,clowns,plural,TR
Question 2783,horse,horse,plural,TR
Question 2783,cowboy,cowboys,plural,TR
Question 2783,anmals,animals,typo,TR
Question 2784,slow down,slow,typo,TR
Question 2784,shut down ,shutdown,typo,TR
Question 2784,shut duwn ,shutdown,typo,TR
Question 2784,shut duwn,shut down,typo,JP
Question 2786,a date,date,typo,TR
Question 2787,bird,birds,plural,TR
Question 2787,wind chime,wind,typo,TR
Question 2787,cricket,crickets,plural,TR
Question 2790,dissappointed,disappointed,typo,TR
Question 2791,hooks,hook,plural,TR
Question 2791,support groupq,support group,typo,TR
Question 2791,guilde,guide,typo,TR
Question 2792,support groupq,support group,typo,JP
Question 2794,tattletail,tattletale,typo,TR
Question 2794,snich,snitch,typo,TR
Question 2794,tattle-tale,tattletale,typo,TR
Question 2795,sunburned,sunburnt,tense,TR
Question 2796,compusre,composure,typo,TR
Question 2797,scame,scam,typo,TR
Question 2797,scammy,scam,typo,TR
Question 28,hug,hug her,typo,MH
Question 2800,10,ten,typo,JP
Question 2800,highfive,high five,typo,JP
Question 2800,nood,nod,typo,JP
